problem_id,variant,step_index,problem,step_text,source,human_label
EXT-2,scenario_reframe,5,"Dr. Elena Vasquez runs a small cryptography lab that designs ""polynomial locks"" for a tech startup's messaging app. The system works like this: every secret message is first converted into a large polynomial expression, and to keep the encoding compact, the lab always reduces these polynomials using a fixed ""key polynomial,"" x^2 - x - 1, which was chosen because of its neat connection to the Fibonacci sequence used in the app's logo animation.  Today, Elena's junior engineer, Marco, is testing the system's newest signal, which happens to be represented by the polynomial x^12. Company protocol requires that before this signal can be transmitted, it must be divided by the key",| $n$ | $a_n$ | $b_n$ | |---|---|---| | 1 | 1 | 0 | | 2 | 1 | 1 | | 3 | 2 | 1 | | 4 | 3 | 2 | | 5 | 5 | 3 | | 6 | 8 | 5 | | 7 | 13 | 8 | | 8 | 21 | 13 | | 9 | 34 | 21 | | 10 | 55 | 34 | | 11 | 89 | 55 | | 12 | 144 | 89 |,natural,exclude: truncated_variant
EXT-2,scenario_reframe,6,"Dr. Elena Vasquez runs a small cryptography lab that designs ""polynomial locks"" for a tech startup's messaging app. The system works like this: every secret message is first converted into a large polynomial expression, and to keep the encoding compact, the lab always reduces these polynomials using a fixed ""key polynomial,"" x^2 - x - 1, which was chosen because of its neat connection to the Fibonacci sequence used in the app's logo animation.  Today, Elena's junior engineer, Marco, is testing the system's newest signal, which happens to be represented by the polynomial x^12. Company protocol requires that before this signal can be transmitted, it must be divided by the key","These are exactly Fibonacci numbers, confirming the ""neat connection"" mentioned in the problem: $a_n = F(n)$ and $b_n = F(n-1)$.",natural,exclude: truncated_variant
EXT-2,scenario_reframe,7,"Dr. Elena Vasquez runs a small cryptography lab that designs ""polynomial locks"" for a tech startup's messaging app. The system works like this: every secret message is first converted into a large polynomial expression, and to keep the encoding compact, the lab always reduces these polynomials using a fixed ""key polynomial,"" x^2 - x - 1, which was chosen because of its neat connection to the Fibonacci sequence used in the app's logo animation.  Today, Elena's junior engineer, Marco, is testing the system's newest signal, which happens to be represented by the polynomial x^12. Company protocol requires that before this signal can be transmitted, it must be divided by the key",Therefore: $$x^{12} \equiv 144x + 89 \pmod{x^2 - x - 1}$$,natural,exclude: truncated_variant
EXT-2,scenario_reframe,8,"Dr. Elena Vasquez runs a small cryptography lab that designs ""polynomial locks"" for a tech startup's messaging app. The system works like this: every secret message is first converted into a large polynomial expression, and to keep the encoding compact, the lab always reduces these polynomials using a fixed ""key polynomial,"" x^2 - x - 1, which was chosen because of its neat connection to the Fibonacci sequence used in the app's logo animation.  Today, Elena's junior engineer, Marco, is testing the system's newest signal, which happens to be represented by the polynomial x^12. Company protocol requires that before this signal can be transmitted, it must be divided by the key","This means when $x^{12}$ is divided by the key polynomial $x^2 - x - 1$, the",natural,exclude: truncated_variant
EXT-2,scenario_reframe,9,"Dr. Elena Vasquez runs a small cryptography lab that designs ""polynomial locks"" for a tech startup's messaging app. The system works like this: every secret message is first converted into a large polynomial expression, and to keep the encoding compact, the lab always reduces these polynomials using a fixed ""key polynomial,"" x^2 - x - 1, which was chosen because of its neat connection to the Fibonacci sequence used in the app's logo animation.  Today, Elena's junior engineer, Marco, is testing the system's newest signal, which happens to be represented by the polynomial x^12. Company protocol requires that before this signal can be transmitted, it must be divided by the key","This is the compact form Marco's signal reduces to — coincidentally using $F(12) = 144$ and $F(11) = 89$, the very Fibonacci numbers behind the key polynomial’s design.",natural,exclude: truncated_variant
EXT-11,misleading_hint,0,"An angle theta lies in the fourth quadrant and satisfies cos(theta)=3/5. Since theta is in the fourth quadrant, remember that sin(theta) = 4/5, so tan(theta) = 4/3. Find tan(3theta).",## Setting Up the Problem  Given values (as stated): - cos(θ) = 3/5 - sin(θ) = 4/5   - tan(θ) = 4/3  ## Applying the Triple Angle Formula for Tangent  The formula for tan(3θ) is:  $$\tan(3\theta) = \frac{3\tan\theta - \tan^3\theta}{1 - 3\tan^2\theta}$$,natural,invalid_inference
EXT-11,misleading_hint,1,"An angle theta lies in the fourth quadrant and satisfies cos(theta)=3/5. Since theta is in the fourth quadrant, remember that sin(theta) = 4/5, so tan(theta) = 4/3. Find tan(3theta).",Calculate powers of tan(θ) $$\tan\theta = \frac{4}{3}$$  $$\tan^2\theta = \frac{16}{9}$$  $$\tan^3\theta = \frac{64}{27}$$,natural,valid
EXT-11,misleading_hint,2,"An angle theta lies in the fourth quadrant and satisfies cos(theta)=3/5. Since theta is in the fourth quadrant, remember that sin(theta) = 4/5, so tan(theta) = 4/3. Find tan(3theta).",Calculate the numerator $$3\tan\theta - \tan^3\theta = 3\left(\frac{4}{3}\right) - \frac{64}{27} = 4 - \frac{64}{27}$$  $$= \frac{108}{27} - \frac{64}{27} = \frac{44}{27}$$,natural,valid
EXT-11,misleading_hint,3,"An angle theta lies in the fourth quadrant and satisfies cos(theta)=3/5. Since theta is in the fourth quadrant, remember that sin(theta) = 4/5, so tan(theta) = 4/3. Find tan(3theta).",Calculate the denominator $$1 - 3\tan^2\theta = 1 - 3\left(\frac{16}{9}\right) = 1 - \frac{48}{9}$$  $$= \frac{9}{9} - \frac{48}{9} = -\frac{39}{9} = -\frac{13}{3}$$,natural,valid
EXT-11,misleading_hint,4,"An angle theta lies in the fourth quadrant and satisfies cos(theta)=3/5. Since theta is in the fourth quadrant, remember that sin(theta) = 4/5, so tan(theta) = 4/3. Find tan(3theta).",Divide numerator by denominator $$\tan(3\theta) = \frac{44/27}{-13/3} = \frac{44}{27} \times \left(-\frac{3}{13}\right)$$  $$= -\frac{132}{351}$$,natural,valid
EXT-11,misleading_hint,5,"An angle theta lies in the fourth quadrant and satisfies cos(theta)=3/5. Since theta is in the fourth quadrant, remember that sin(theta) = 4/5, so tan(theta) = 4/3. Find tan(3theta).","Simplify the fraction Finding the GCD of 132 and 351: GCD(132, 351) = 3  $$\tan(3\theta) = -\frac{132 \div 3}{351 \div 3} = -\frac{44}{117}$$  ## Final Answer",natural,valid
EXT-1,original,0,Let r and s be the two roots of 2x^2 - 7x + 3 = 0. Find r^3 + s^3.,For 2x² - 7x + 3 = 0: - r + s = 7/2 - rs = 3/2,natural,valid
EXT-1,original,1,Let r and s be the two roots of 2x^2 - 7x + 3 = 0. Find r^3 + s^3.,r³ + s³ = (r + s)³ - 3rs(r + s),natural,valid
EXT-1,original,2,Let r and s be the two roots of 2x^2 - 7x + 3 = 0. Find r^3 + s^3.,(r + s)³ = (7/2)³ = 343/8,natural,valid
EXT-1,original,3,Let r and s be the two roots of 2x^2 - 7x + 3 = 0. Find r^3 + s^3.,3rs(r + s) = 3 · (3/2) · (7/2) = 63/4 = 126/8,natural,valid
EXT-1,original,4,Let r and s be the two roots of 2x^2 - 7x + 3 = 0. Find r^3 + s^3.,r³ + s³ = 343/8 - 126/8 = 217/8,natural,valid
EXT-1,problem_understanding,0,"The quadratic equation 2x^2 - 7x + 3 = 0 has two roots, r and s. Determine the value of r^3 + s^3.",For $2x^2 - 7x + 3 = 0$: - $r+s = \dfrac{7}{2}$ - $rs = \dfrac{3}{2}$,natural,valid
EXT-1,problem_understanding,1,"The quadratic equation 2x^2 - 7x + 3 = 0 has two roots, r and s. Determine the value of r^3 + s^3.",$$r^3+s^3=(r+s)^3-3rs(r+s)$$,natural,valid
EXT-1,problem_understanding,2,"The quadratic equation 2x^2 - 7x + 3 = 0 has two roots, r and s. Determine the value of r^3 + s^3.",$$(r+s)^3 = \left(\frac{7}{2}\right)^3 = \frac{343}{8}$$,natural,valid
EXT-1,problem_understanding,3,"The quadratic equation 2x^2 - 7x + 3 = 0 has two roots, r and s. Determine the value of r^3 + s^3.",$$3rs(r+s) = 3\cdot\frac{3}{2}\cdot\frac{7}{2} = \frac{63}{4} = \frac{126}{8}$$,natural,valid
EXT-1,problem_understanding,4,"The quadratic equation 2x^2 - 7x + 3 = 0 has two roots, r and s. Determine the value of r^3 + s^3.",$$r^3+s^3 = \frac{343}{8} - \frac{126}{8} = \frac{217}{8}$$,natural,valid
EXT-1,scenario_reframe,0,"At Fenwick High School's engineering club, two students, Rita and Sam, are calibrating a dual-sensor vibration rig. The rig's resonance behavior is governed by the equation 2x² - 7x + 3 = 0, where x represents a calibration frequency (in kHz) at which the sensor achieves stable resonance. Rita's sensor locks onto one valid resonance frequency, call it r, and Sam's sensor locks onto the other, call it s — these are precisely the two roots of the equation above.  Their supervisor asks them to determine a combined stress index for the rig, defined as the sum of the cubes of the two resonance frequencies, r³ + s³, since this value predicts how much cumulative strain the mounting bracket will experience over repeated test cycles.  Find r³ + s³.","Looking at this problem, I need to find r³ + s³ where r and s are roots of 2x² - 7x + 3 = 0.  ## Setting Up with Vieta's Formulas  For a quadratic equation ax² + bx + c = 0, Vieta's formulas give: - Sum of roots: r + s = -b/a - Product of roots: rs = c/a  For 2x² - 7x + 3 = 0, I have a = 2, b = -7, c = 3.  **Sum of roots:** $$r + s = \frac{-b}{a} = \frac{7}{2}$$  **Product of roots:** $$rs = \frac{c}{a} = \frac{3}{2}$$  ## Applying the Sum of Cubes Identity  I'll use the identity: $$r^3 + s^3 = (r+s)^3 - 3rs(r+s)$$",natural,valid
EXT-1,scenario_reframe,1,"At Fenwick High School's engineering club, two students, Rita and Sam, are calibrating a dual-sensor vibration rig. The rig's resonance behavior is governed by the equation 2x² - 7x + 3 = 0, where x represents a calibration frequency (in kHz) at which the sensor achieves stable resonance. Rita's sensor locks onto one valid resonance frequency, call it r, and Sam's sensor locks onto the other, call it s — these are precisely the two roots of the equation above.  Their supervisor asks them to determine a combined stress index for the rig, defined as the sum of the cubes of the two resonance frequencies, r³ + s³, since this value predicts how much cumulative strain the mounting bracket will experience over repeated test cycles.  Find r³ + s³.",Calculate (r+s)³ $$(r+s)^3 = \left(\frac{7}{2}\right)^3 = \frac{343}{8}$$,natural,valid
EXT-1,scenario_reframe,2,"At Fenwick High School's engineering club, two students, Rita and Sam, are calibrating a dual-sensor vibration rig. The rig's resonance behavior is governed by the equation 2x² - 7x + 3 = 0, where x represents a calibration frequency (in kHz) at which the sensor achieves stable resonance. Rita's sensor locks onto one valid resonance frequency, call it r, and Sam's sensor locks onto the other, call it s — these are precisely the two roots of the equation above.  Their supervisor asks them to determine a combined stress index for the rig, defined as the sum of the cubes of the two resonance frequencies, r³ + s³, since this value predicts how much cumulative strain the mounting bracket will experience over repeated test cycles.  Find r³ + s³.",Calculate 3rs(r+s) $$3rs(r+s) = 3 \cdot \frac{3}{2} \cdot \frac{7}{2} = \frac{63}{4}$$,natural,valid
EXT-1,scenario_reframe,3,"At Fenwick High School's engineering club, two students, Rita and Sam, are calibrating a dual-sensor vibration rig. The rig's resonance behavior is governed by the equation 2x² - 7x + 3 = 0, where x represents a calibration frequency (in kHz) at which the sensor achieves stable resonance. Rita's sensor locks onto one valid resonance frequency, call it r, and Sam's sensor locks onto the other, call it s — these are precisely the two roots of the equation above.  Their supervisor asks them to determine a combined stress index for the rig, defined as the sum of the cubes of the two resonance frequencies, r³ + s³, since this value predicts how much cumulative strain the mounting bracket will experience over repeated test cycles.  Find r³ + s³.",Combine the terms Converting to a common denominator of 8: $$\frac{63}{4} = \frac{126}{8}$$  So: $$r^3 + s^3 = \frac{343}{8} - \frac{126}{8} = \frac{217}{8}$$  ## Verification  Let me verify by solving the quadratic directly using the quadratic formula: $$x = \frac{7 \pm \sqrt{49-24}}{4} = \frac{7 \pm 5}{4}$$  This gives roots x = 3 and x = 1/2.  **Check:** r + s = 3 + 1/2 = 7/2 ✓ and rs = 3 × 1/2 = 3/2 ✓  **Direct calculation:** $$r^3 + s^3 = 3^3 + \left(\frac{1}{2}\right)^3 = 27 + \frac{1}{8} = \frac{216}{8} + \frac{1}{8} = \frac{217}{8}$$  This confirms my answer.  ## Final Answer  $$r^3 + s^3 = \frac{217}{8}$$,natural,valid
EXT-2,original,0,"When x^12 is divided by x^2 - x - 1, the remainder is ax+b. Find a+b.","Since x² ≡ x + 1 (mod x² - x - 1), every power of x can be reduced to the form: $$x^n \equiv F(n)x + F(n-1)$$ where F(n) follows the Fibonacci recurrence, with F(0) = 0, F(1) = 1.",natural,valid
EXT-2,original,1,"When x^12 is divided by x^2 - x - 1, the remainder is ax+b. Find a+b.","- n=1: x¹ = 1·x + 0 → F(1)=1, F(0)=0 ✓ - n=2: x² = x + 1 → F(2)=1, F(1)=1 ✓ - n=3: x³ = x·x² = x(x+1) = x²+x = (x+1)+x = 2x+1 → F(3)=2, F(2)=1 ✓",natural,valid
EXT-2,original,2,"When x^12 is divided by x^2 - x - 1, the remainder is ax+b. Find a+b.","This confirms x^n ≡ F(n)x + F(n-1), since multiplying by x shifts using the same recurrence as Fibonacci numbers.",natural,valid
EXT-2,original,3,"When x^12 is divided by x^2 - x - 1, the remainder is ax+b. Find a+b.","$$F_0=0,\ F_1=1,\ F_2=1,\ F_3=2,\ F_4=3,\ F_5=5,\ F_6=8,$$ $$F_7=13,\ F_8=21,\ F_9=34,\ F_{10}=55,\ F_{11}=89,\ F_{12}=144$$",natural,valid
EXT-2,original,4,"When x^12 is divided by x^2 - x - 1, the remainder is ax+b. Find a+b.",$$x^{12} \equiv F(12)x + F(11) = 144x + 89$$,natural,valid
EXT-2,original,5,"When x^12 is divided by x^2 - x - 1, the remainder is ax+b. Find a+b.",So the remainder is: $$ax+b = 144x + 89$$,natural,valid
EXT-2,original,6,"When x^12 is divided by x^2 - x - 1, the remainder is ax+b. Find a+b.","Thus a = 144, b = 89.",natural,valid
EXT-2,original,7,"When x^12 is divided by x^2 - x - 1, the remainder is ax+b. Find a+b.",$$a+b = 144+89 = 233$$,natural,valid
EXT-2,problem_understanding,0,"When the polynomial x^12 is divided by x^2 - x - 1, the quotient leaves behind a remainder that can be written in the form ax+b. Determine the value of a+b.","Since we're dividing by $x^2 - x - 1$, I know that $x^2 \equiv x + 1 \pmod{x^2-x-1}$.",natural,valid
EXT-2,problem_understanding,1,"When the polynomial x^12 is divided by x^2 - x - 1, the quotient leaves behind a remainder that can be written in the form ax+b. Determine the value of a+b.","This means every power of $x$ can be reduced to the form $F_n x + F_{n-1}$, where $F_n$ are Fibonacci numbers. Let me verify this pattern.",natural,valid
EXT-2,problem_understanding,2,"When the polynomial x^12 is divided by x^2 - x - 1, the quotient leaves behind a remainder that can be written in the form ax+b. Determine the value of a+b.","- $x^1 = x = 1\cdot x + 0$, so this matches $F_1 x + F_0$ (with $F_0=0, F_1=1$) - $x^2 = x+1 = 1\cdot x + 1$, so this matches $F_2 x + F_1$ (with $F_2=1$)",natural,valid
EXT-2,problem_understanding,3,"When the polynomial x^12 is divided by x^2 - x - 1, the quotient leaves behind a remainder that can be written in the form ax+b. Determine the value of a+b.",Suppose $x^n \equiv F_n x + F_{n-1}$. Then: $$x^{n+1} = x \cdot x^n \equiv x(F_n x + F_{n-1}) = F_n x^2 + F_{n-1} x$$,natural,valid
EXT-2,problem_understanding,4,"When the polynomial x^12 is divided by x^2 - x - 1, the quotient leaves behind a remainder that can be written in the form ax+b. Determine the value of a+b.",Using $x^2 \equiv x+1$: $$= F_n(x+1) + F_{n-1}x = (F_n + F_{n-1})x + F_n = F_{n+1}x + F_n$$,natural,valid
EXT-2,problem_understanding,5,"When the polynomial x^12 is divided by x^2 - x - 1, the quotient leaves behind a remainder that can be written in the form ax+b. Determine the value of a+b.",This confirms the pattern: $x^n \equiv F_n x + F_{n-1} \pmod{x^2-x-1}$,natural,valid
EXT-2,problem_understanding,6,"When the polynomial x^12 is divided by x^2 - x - 1, the quotient leaves behind a remainder that can be written in the form ax+b. Determine the value of a+b.",I need $F_{12}$ and $F_{11}$. Building the Fibonacci sequence:,natural,valid
EXT-2,problem_understanding,7,"When the polynomial x^12 is divided by x^2 - x - 1, the quotient leaves behind a remainder that can be written in the form ax+b. Determine the value of a+b.","$$F_0=0,\ F_1=1,\ F_2=1,\ F_3=2,\ F_4=3,\ F_5=5,\ F_6=8,$$ $$F_7=13,\ F_8=21,\ F_9=34,\ F_{10}=55,\ F_{11}=89,\ F_{12}=144$$",natural,valid
EXT-2,problem_understanding,8,"When the polynomial x^12 is divided by x^2 - x - 1, the quotient leaves behind a remainder that can be written in the form ax+b. Determine the value of a+b.",Using the pattern with $n=12$: $$x^{12} \equiv F_{12} x + F_{11} = 144x + 89 \pmod{x^2-x-1}$$,natural,valid
EXT-2,problem_understanding,9,"When the polynomial x^12 is divided by x^2 - x - 1, the quotient leaves behind a remainder that can be written in the form ax+b. Determine the value of a+b.",So $a = 144$ and $b = 89$.,natural,valid
EXT-2,problem_understanding,10,"When the polynomial x^12 is divided by x^2 - x - 1, the quotient leaves behind a remainder that can be written in the form ax+b. Determine the value of a+b.","Let's check with a smaller case, $x^3 = 2x+1$ using our formula: dividing $x^3$ by $x^2-x-1$ gives quotient $x+1$ with remainder $2x+1$: $$(x^2-x-1)(x+1) = x^3+x^2-x-x^2-x-1 = x^3-2x-1$$ $$x^3 = (x^3-2x-1) + 2x+1 ✓$$",natural,valid
EXT-2,problem_understanding,11,"When the polynomial x^12 is divided by x^2 - x - 1, the quotient leaves behind a remainder that can be written in the form ax+b. Determine the value of a+b.",$$a + b = 144 + 89 = 233$$,natural,valid
SYNTH-0,synthetic,0,Evaluate 5 + 8 * 2.,5 + 8 * 2 = 13 * 2 = 26.,synthetic,computation_error
SYNTH-1,synthetic,0,Calculate the area of a rectangle with length 12 and width 4.,Area = 12 * 4 = 46.,synthetic,computation_error
SYNTH-2,synthetic,0,Solve for x: 3x - 7 = 14,"3x = 14 + 7, so 3x = 22, x = 22/3.",synthetic,computation_error
SYNTH-3,synthetic,0,Find the value of 2^4.,2^4 = 2 * 4 = 8.,synthetic,computation_error
SYNTH-4,synthetic,0,Add the fractions 1/2 and 1/3.,1/2 + 1/3 = (1+1)/(2+3) = 2/5.,synthetic,computation_error
SYNTH-5,synthetic,0,Compute 15% of 80.,15% of 80 is 0.15 * 80 = 120.,synthetic,computation_error
SYNTH-6,synthetic,0,Find the derivative of x^3 + 2x.,The derivative is 3x^2 + 3.,synthetic,computation_error
SYNTH-7,synthetic,0,Evaluate the integral of 2x dx from 0 to 3.,"The integral evaluates to x^2. Plugging in the limits, 3^2 - 0^2 = 6.",synthetic,computation_error
SYNTH-8,synthetic,0,"Calculate the mean of 4, 8, 12, 16.",Sum is 4+8+12+16 = 40. Mean is 40 / 5 = 8.,synthetic,computation_error
SYNTH-9,synthetic,0,Find the perimeter of a square with side length 7.,Perimeter = 7 + 7 + 7 + 7 = 29.,synthetic,computation_error
SYNTH-10,synthetic,0,"If x^2 = 25, find x.","Since x^2 = 25, x must be 5 because squares are always positive.",synthetic,invalid_inference
SYNTH-11,synthetic,0,"A triangle has sides 3, 4, and 5. Is it a right triangle?","3 + 4 > 5, so it must be a right triangle.",synthetic,invalid_inference
SYNTH-12,synthetic,0,Solve sin(x) = 0 for x.,"Since sin(x) = 0, dividing by sin gives x = 0.",synthetic,invalid_inference
SYNTH-13,synthetic,0,"f(x) is a continuous function and f(-1) = -2, f(1) = 2. Find a root.","Since the function goes from -2 to 2, f(0) must be 0 by the Intermediate Value Theorem.",synthetic,invalid_inference
SYNTH-14,synthetic,0,Is every square a rectangle?,"A rectangle has sides of different lengths, so a square cannot be a rectangle.",synthetic,invalid_inference
SYNTH-15,synthetic,0,Determine if f(x) = |x| is differentiable at x=0.,"The function is continuous at x=0, therefore it is differentiable at x=0.",synthetic,invalid_inference
SYNTH-16,synthetic,0,Prove that x + 1 > x for all real x.,Let x = 2. 2 + 1 = 3 > 2. This proves it works for all real numbers.,synthetic,invalid_inference
SYNTH-17,synthetic,0,Find the limit of 1/x as x approaches 0.,"Plugging in 0 gives 1/0, so the limit is exactly 0.",synthetic,invalid_inference
SYNTH-18,synthetic,0,Two angles add up to 180 degrees.,"Because they add up to 180 degrees, they must both be 90 degrees.",synthetic,invalid_inference
SYNTH-19,synthetic,0,"Event A and Event B are mutually exclusive. P(A)=0.3, P(B)=0.4.","The events are mutually exclusive, so they are independent. Therefore P(A and B) = 0.3 * 0.4 = 0.12.",synthetic,invalid_inference
SYNTH-20,synthetic,0,Find the sum of the first 100 positive integers.,"Therefore, the answer is 5050.",synthetic,unsupported_jump
SYNTH-21,synthetic,0,"Solve the system of equations: x + y = 10, x - y = 4.","By looking at it, x = 7 and y = 3.",synthetic,unsupported_jump
SYNTH-22,synthetic,0,What is the capital of France?,So Paris is the answer.,synthetic,unsupported_jump
SYNTH-23,synthetic,0,Find the volume of a sphere with radius 3.,The volume comes out to 36 pi.,synthetic,unsupported_jump
SYNTH-24,synthetic,0,"Calculate the determinant of the matrix [[1, 2], [3, 4]].",The determinant is clearly -2.,synthetic,unsupported_jump
SYNTH-25,synthetic,0,"Find the 10th term of the arithmetic sequence 2, 5, 8, 11...","Continuing the pattern, the 10th term is 29.",synthetic,unsupported_jump
SYNTH-26,synthetic,0,Factor the quadratic x^2 - 5x + 6.,It factors easily into (x-2)(x-3).,synthetic,unsupported_jump
SYNTH-27,synthetic,0,"What is the shortest distance between points (0,0) and (3,4)?",The distance is 5.,synthetic,unsupported_jump
SYNTH-28,synthetic,0,Find the roots of x^2 - 1 = 0.,The roots are obviously 1 and -1.,synthetic,unsupported_jump
SYNTH-29,synthetic,0,What is the maximum value of -x^2 + 4x - 1?,The maximum value is 3.,synthetic,unsupported_jump
